Feature,Low_Mean,Low_Std,Low_Median,Medium_Mean,Medium_Std,Medium_Median,High_Mean,High_Std,High_Median
word_count,9.87734375,2.9536645583975085,9.0,14.108638888888889,3.4528894331454643,14.0,16.35959375,2.940162619200356,16.0
caption_engagement_intent,0.1649618375,0.14799592286921426,0.1,0.36534478333333337,0.18607173466843627,0.3667,0.509871446875,0.14518271935553823,0.5167
caption_readability,55.1858421875,24.464563583741903,58.25,71.58909472222223,16.133593064044156,72.89,77.9205784375,13.050454486285338,79.81
content_quality_score,0.533729496875,0.10397498189239433,0.5433,0.6432515,0.08444026782252508,0.6464,0.703453371875,0.0720450133770822,0.7043
call_to_action,0.1861875,0.3892639850349831,0.0,0.6954722222222223,0.4602135304132636,1.0,0.955875,0.20537600268337658,1.0
caption_length,67.69984375,17.208404676576514,62.0,89.04233333333333,19.477273685695963,89.0,100.346375,16.428168134533674,98.0
uppercase_ratio,0.027849775,0.009148842071013777,0.026,0.03147868888888889,0.008340024557193354,0.0303,0.03310935625,0.007504855848049403,0.0312
sentence_count,2.1298125,0.7398755446615181,2.0,2.829527777777778,0.7960570484694954,3.0,3.23896875,0.7303710403496665,3.0
caption_subjectivity,0.01029371875,0.04809152137847999,0.0,0.04925577222222222,0.0852097728135812,0.0,0.095537778125,0.0952828475679555,0.119
posting_hour,11.06946875,5.834061104940428,10.0,12.276916666666667,5.452899717544106,12.0,14.24715625,4.269420588509747,15.0
question_mark_count,0.0335625,0.18337014305167681,0.0,0.16266666666666665,0.3874264840399664,0.0,0.363875,0.5271775500296735,0.0
caption_sentiment,0.104464528125,0.15609049776385397,0.0896,0.20765527222222221,0.31083050344651114,0.1276,0.32840255,0.39487077905325785,0.1825
keyword_density,0.9972066968750001,0.017604496454346454,1.0,0.9946601944444444,0.022570539037445866,1.0,0.992451484375,0.025605025304379445,1.0
hashtag_count,7.56490625,2.0682228729077554,8.0,7.757027777777778,1.9241118021516146,8.0,7.9155,1.8072836858314658,8.0
unique_hashtag_count,7.4783125,2.0296325736092586,7.0,7.666166666666666,1.8956645312690585,8.0,7.82040625,1.781520142083431,8.0
creator_activity_score,0.517255065625,0.12692012073986597,0.5175,0.5249424833333334,0.12680106689620296,0.5256,0.5353642750000001,0.12582513345455226,0.5362
content_consistency,0.5430016283107557,0.2077643625736494,0.5463765031493781,0.5544426046816402,0.20660537527480036,0.5588118124480745,0.564676474088661,0.20699132299446416,0.5719274442810097
average_historical_engagement,0.024631604054882968,0.01349338858818791,0.0221949980369639,0.024822941992499455,0.013772952939931828,0.02228738009515215,0.024904005892729224,0.01386768299376611,0.0223254202035889
follower_count,32654.4063125,77328.86996210334,8017.0,35204.899333333335,92148.24358243175,8283.0,37354.37171875,93503.54446194888,8810.0
